name,box_office,genres,average,ratings_count,collect_count,wish_count,reviews_count
等风来,7979,"[""喜剧"",""爱情""]",5.6,84388,99440,5960,1106
我们诞生在中国,6650,"[""爱情""]",3.5,446,515,173,4
露水红颜,6637,"[""爱情""]",4.8,30548,34996,3342,340
飞天,6574,"[""剧情""]",2.9,4833,5005,456,58
神秘世界历险记3,6544,"[""动画"",""奇幻"",""冒险""]",6.1,772,828,334,28
我知女人心,6537,"[""喜剧"",""爱情""]",5.6,53709,72443,2488,168
刺陵,6519,"[""动作"",""冒险""]",3.7,47474,57022,3190,434
剑雨,6436,"[""动作"",""武侠"",""古装""]",6.9,95636,118396,6720,1036
桂宝之爆笑闯宇宙,6426,"[""喜剧"",""科幻"",""动画""]",5.1,1397,1630,961,30
消失爱人,6417,"[""爱情"",""悬疑""]",4.7,8607,8651,2117,147
三国之见龙卸甲,6364,"[""动作"",""剧情"",""历史""]",5.1,39396,51494,1143,645
一路狂奔,588,"[""喜剧""]",3.1,2935,3229,377,24
白毛女,588,"[""剧情""]",6.9,1872,3030,279,8
猫脸老太太,586,"[""悬疑"",""惊悚"",""恐怖""]",5.1,1887,2112,595,32
无间罪：僵尸重生,584,"[""惊悚"",""恐怖""]",2.6,694,803,564,17
汽车人总动员,584,"[""喜剧"",""动画"",""冒险""]",2.3,14297,15184,500,68
火焰山历险记,583,"[""动画"",""奇幻"",""冒险""]",4.4,1548,1578,626,3
猎仇者,581,"[""悬疑"",""惊悚"",""犯罪""]",4.2,9038,9358,1139,29
毛丰美,581,"[""剧情"",""传记""]",6.9,72,84,17,1
圣龙奇兵大冒险,571,"[""喜剧"",""动画"",""冒险""]",5.3,594,641,218,351
一路向前,571,"[""悬疑"",""惊悚"",""恐怖""]",5.9,4151,4679,1499,26
午夜微博,537,"[""悬疑"",""惊悚"",""恐怖""]",3.5,3039,3286,446,24
再见我们的十年,536,"[""喜剧"",""爱情""]",4.3,1080,1227,1146,14
爱情银行,536,"[""剧情"",""爱情""]",6,7181,8503,3525,64
神兵小将,535,"[""动画"",""奇幻""]",4.7,417,490,61,4
爱在那一天,534,"[""剧情"",""爱情""]",4.2,6334,7820,1369,105
圣诞大赢家,534,"[""喜剧"",""动画""]",4,200,223,504,3
飞越老人院,526,"[""剧情"",""喜剧""]",7.8,32878,40390,15677,456
诡娃,526,"[""惊悚"",""恐怖""]",2.5,471,532,116,5
我们约会吧,523,"[""剧情"",""爱情""]",4.6,6715,8864,763,37
笔仙撞碟仙,523,"[""惊悚"",""恐怖""]",2.5,1305,1420,203,20
志愿者,103,"[""剧情""]",7.4,594,731,339,8
哭笑不得,102,"[""喜剧"",""爱情""]",3,885,1086,92,8
危情营救,102,"[""动作"",""犯罪""]",2.7,1417,1516,3367,14
绝对底线,102,"[""剧情"",""犯罪"",""悬疑""]",4.2,590,702,111,21
闯堂兔,102,"[""喜剧"",""动画""]",4.1,135,162,85,3
尔玛的婚礼,101,[],6.4,53,80,69,3
青春雷锋,100,"[""剧情"",""传记""]",2.5,1730,1791,285,21
八卦宗师,100,"[""动作"",""武侠"",""古装""]",2.9,935,1089,134,28
大漠赤诚,100,[],0,1,1,0,0
好雨时节,99,"[""剧情"",""爱情""]",6.4,21306,28193,7477,192
恐怖爱情故事之死亡公路,74,"[""犯罪"",""悬疑"",""恐怖""]",2.9,576,545,175,10
夏日示爱,73,"[""喜剧"",""爱情""]",3.8,507,575,358,5
不朽的时光,73,"[""剧情""]",6.6,3350,3617,2481,169
刺夜,73,"[""动作"",""悬疑""]",5.2,1547,1665,1219,15
